Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
0.00034278282761 Grantley Adams Intl, Barbados
0.000342023857872 Gustavo Rojas Pinilla, Colombia
0.000341333563265 Durban Intl, South Africa
0.000341237560694 Reus, Spain
0.000341068297882 Reno Tahoe Intl, United States
0.00034066934929 Torino, Italy
0.00033943188951 Kalibo, Philippines
0.000338889662317 Campo Grande, Brazil
0.000338007741871 Grand Bahama Intl, Bahamas
0.000336522747744 Santorini, Greece
0.000336419465815 Sharjah Intl, United Arab Emirates
0.000335117395386 Augusto Severo, Brazil
0.000334222349712 Fort Albany Airport, Canada
0.000331656902459 Munda Airport, Solomon Islands
0.000331359972068 Mediterranee, France
0.0003272953617 Rangiroa, French Polynesia
0.000326732041501 Kish Island, Iran
0.000326569891054 Adi Sutjipto, Indonesia
0.00032653060377 Olaya Herrera, Colombia
0.000326330006824 Norsup Airport, Vanuatu
0.000325663441963 Sam Ratulangi, Indonesia
0.000325448743695 Moosonee, Canada
0.000324397501105 Wattay Intl, Laos
0.000323608359644 Enfidha - Zine El Abidine Ben Ali International Airport, Tunisia
0.000322216927588 Kelowna, Canada
0.000322128085803 Boise Air Terminal, United States
0.000321942919641 Villafranca, Italy
0.000320704517307 Zadar, Croatia
0.000320577061449 Inezgane, Morocco
0.000319548742113 Syamsudin Noor, Indonesia
0.000318946290481 Freetown Lungi, Sierra Leone
0.000318625592683 Calicut, India
0.00031819180099 Norfolk Intl, United States
0.000318141273917 Eros Airport, Namibia
0.000317241314216 Philip S W Goldson Intl, Belize
0.000316547335477 Narsarsuaq, Greenland
0.000316527279596 Pune, India
0.000316337821969 Birmingham Intl, United States
0.000315867654485 Benina, Libya
0.000315816401737 St Denis Gillot, Reunion
0.000315706252747 Kilimanjaro Intl, Tanzania
0.000314160672156 Alghero, Italy
0.0003141076411 Entzheim, France
0.000313462625132 Johan A Pengel Intl, Suriname
0.000313419916138 Talagi, Russia
0.000312978460216 City Centre, Canada
0.000312947056186 Wiley Post Will Rogers Mem, United States
0.000312767319582 Phnom Penh Intl, Cambodia
0.000312367581644 Zhuhai Airport, China
0.000311855762286 Visby, Sweden
0.000310534862171 Santarem, Brazil
0.000309620846344 Kangirsuk Airport, Canada
0.000308966947288 El Plumerillo, Argentina
